x	y	showSelected1	group
-0.364729963771708	0.0345876451382054	28	-1
-0.328256967394537	0.0276701161105643	28	-1
-0.295431270655083	0.0221360928884515	28	-1
-0.265888143589575	0.0177088743107612	28	-1
-0.239299329230618	0.0141670994486089	28	-1
-0.215369396307556	0.0113336795588872	28	-1
-0.1938324566768	0.00906694364710972	28	-1
-0.17444921100912	0.00725355491768778	28	-1
-3	3	29	-1
-2.7	2.4	29	-1
-2.43	1.92	29	-1
-2.187	1.536	29	-1
-1.9683	1.2288	29	-1
-1.77147	0.98304	29	-1
-1.594323	0.786432	29	-1
-1.4348907	0.6291456	29	-1
-1.29140163	0.50331648	29	-1
-1.162261467	0.402653184	29	-1
-1.0460353203	0.3221225472	29	-1
-0.94143178827	0.25769803776	29	-1
-0.847288609443	0.206158430208	29	-1
-0.7625597484987	0.1649267441664	29	-1
-0.68630377364883	0.13194139533312	29	-1
-0.617673396283947	0.105553116266496	29	-1
-0.555906056655552	0.0844424930131968	29	-1
-0.500315450989997	0.0675539944105575	29	-1
-0.450283905890997	0.054043195528446	29	-1
-0.405255515301898	0.0432345564227568	29	-1
-0.364729963771708	0.0345876451382054	29	-1
-0.328256967394537	0.0276701161105643	29	-1
-0.295431270655083	0.0221360928884515	29	-1
-0.265888143589575	0.0177088743107612	29	-1
-0.239299329230618	0.0141670994486089	29	-1
-0.215369396307556	0.0113336795588872	29	-1
-0.1938324566768	0.00906694364710972	29	-1
-0.17444921100912	0.00725355491768778	29	-1
-0.157004289908208	0.00580284393415022	29	-1
-3	3	30	-1
-2.7	2.4	30	-1
-2.43	1.92	30	-1
-2.187	1.536	30	-1
-1.9683	1.2288	30	-1
-1.77147	0.98304	30	-1
-1.594323	0.786432	30	-1
-1.4348907	0.6291456	30	-1
-1.29140163	0.50331648	30	-1
-1.162261467	0.402653184	30	-1
-1.0460353203	0.3221225472	30	-1
-0.94143178827	0.25769803776	30	-1
-0.847288609443	0.206158430208	30	-1
-0.7625597484987	0.1649267441664	30	-1
-0.68630377364883	0.13194139533312	30	-1
-0.617673396283947	0.105553116266496	30	-1
-0.555906056655552	0.0844424930131968	30	-1
-0.500315450989997	0.0675539944105575	30	-1
-0.450283905890997	0.054043195528446	30	-1
-0.405255515301898	0.0432345564227568	30	-1
-0.364729963771708	0.0345876451382054	30	-1
-0.328256967394537	0.0276701161105643	30	-1
-0.295431270655083	0.0221360928884515	30	-1
-0.265888143589575	0.0177088743107612	30	-1
-0.239299329230618	0.0141670994486089	30	-1
-0.215369396307556	0.0113336795588872	30	-1
-0.1938324566768	0.00906694364710972	30	-1
-0.17444921100912	0.00725355491768778	30	-1
