x	y	showSelected1
-0.328256967394537	0.0276701161105643	34
-0.295431270655083	0.0221360928884515	34
-0.265888143589575	0.0177088743107612	34
-0.239299329230618	0.0141670994486089	34
-0.215369396307556	0.0113336795588872	34
-0.1938324566768	0.00906694364710972	34
-0.17444921100912	0.00725355491768778	34
-0.157004289908208	0.00580284393415022	34
-0.141303860917387	0.00464227514732018	34
-0.127173474825649	0.00371382011785614	34
-0.114456127343084	0.00297105609428491	34
-0.103010514608775	0.00237684487542793	34
-0.0927094631478979	0.00190147590034235	34
-3	3	35
-2.7	2.4	35
-2.43	1.92	35
-2.187	1.536	35
-1.9683	1.2288	35
-1.77147	0.98304	35
-1.594323	0.786432	35
-1.4348907	0.6291456	35
-1.29140163	0.50331648	35
-1.162261467	0.402653184	35
-1.0460353203	0.3221225472	35
-0.94143178827	0.25769803776	35
-0.847288609443	0.206158430208	35
-0.7625597484987	0.1649267441664	35
-0.68630377364883	0.13194139533312	35
-0.617673396283947	0.105553116266496	35
-0.555906056655552	0.0844424930131968	35
-0.500315450989997	0.0675539944105575	35
-0.450283905890997	0.054043195528446	35
-0.405255515301898	0.0432345564227568	35
-0.364729963771708	0.0345876451382054	35
-0.328256967394537	0.0276701161105643	35
-0.295431270655083	0.0221360928884515	35
-0.265888143589575	0.0177088743107612	35
-0.239299329230618	0.0141670994486089	35
-0.215369396307556	0.0113336795588872	35
-0.1938324566768	0.00906694364710972	35
-0.17444921100912	0.00725355491768778	35
-0.157004289908208	0.00580284393415022	35
-0.141303860917387	0.00464227514732018	35
-0.127173474825649	0.00371382011785614	35
-0.114456127343084	0.00297105609428491	35
-0.103010514608775	0.00237684487542793	35
-0.0927094631478979	0.00190147590034235	35
-0.0834385168331081	0.00152118072027388	35
-3	3	36
-2.7	2.4	36
-2.43	1.92	36
-2.187	1.536	36
-1.9683	1.2288	36
-1.77147	0.98304	36
-1.594323	0.786432	36
-1.4348907	0.6291456	36
-1.29140163	0.50331648	36
-1.162261467	0.402653184	36
-1.0460353203	0.3221225472	36
-0.94143178827	0.25769803776	36
-0.847288609443	0.206158430208	36
-0.7625597484987	0.1649267441664	36
-0.68630377364883	0.13194139533312	36
-0.617673396283947	0.105553116266496	36
-0.555906056655552	0.0844424930131968	36
-0.500315450989997	0.0675539944105575	36
-0.450283905890997	0.054043195528446	36
-0.405255515301898	0.0432345564227568	36
-0.364729963771708	0.0345876451382054	36
-0.328256967394537	0.0276701161105643	36
-0.295431270655083	0.0221360928884515	36
-0.265888143589575	0.0177088743107612	36
-0.239299329230618	0.0141670994486089	36
-0.215369396307556	0.0113336795588872	36
-0.1938324566768	0.00906694364710972	36
-0.17444921100912	0.00725355491768778	36
-0.157004289908208	0.00580284393415022	36
-0.141303860917387	0.00464227514732018	36
-0.127173474825649	0.00371382011785614	36
-0.114456127343084	0.00297105609428491	36
-0.103010514608775	0.00237684487542793	36
-0.0927094631478979	0.00190147590034235	36
-0.0834385168331081	0.00152118072027388	36
-0.0750946651497973	0.0012169445762191	36
-3	3	37
-2.7	2.4	37
-2.43	1.92	37
-2.187	1.536	37
-1.9683	1.2288	37
-1.77147	0.98304	37
-1.594323	0.786432	37
-1.4348907	0.6291456	37
-1.29140163	0.50331648	37
-1.162261467	0.402653184	37
-1.0460353203	0.3221225472	37
-0.94143178827	0.25769803776	37
-0.847288609443	0.206158430208	37
-0.7625597484987	0.1649267441664	37
-0.68630377364883	0.13194139533312	37
-0.617673396283947	0.105553116266496	37
