colour	order	level	x	y	piece	group
#1D3F5E	6	6	0.551020408163265	-1.68677113702624	3	-1-003
#1D3F5E	6	6	0.428571428571428	-1.7042638483965	3	-1-003
#1D3F5E	6	6	0.306122448979592	-1.7173833819242	3	-1-003
#1D3F5E	6	6	0.183673469387755	-1.72612973760933	3	-1-003
#1D3F5E	6	6	0.0612244897959182	-1.7305029154519	3	-1-003
#1D3F5E	6	6	-0.0612244897959187	-1.7305029154519	3	-1-003
#1D3F5E	6	6	-0.183673469387755	-1.72612973760933	3	-1-003
#1D3F5E	6	6	-0.306122448979592	-1.7173833819242	3	-1-003
#1D3F5E	6	6	-0.428571428571429	-1.7042638483965	3	-1-003
#1D3F5E	6	6	-0.551020408163265	-1.68677113702624	3	-1-003
#1D3F5E	6	6	-0.673469387755102	-1.66490524781341	3	-1-003
#1D3F5E	6	6	-0.728741496598639	-1.6530612244898	3	-1-003
#1D3F5E	6	6	-0.795918367346939	-1.63755886970173	3	-1-003
#1D3F5E	6	6	-0.918367346938775	-1.60459183673469	3	-1-003
#1D3F5E	6	6	-1.04081632653061	-1.56691522762951	3	-1-003
#1D3F5E	6	6	-1.14569160997732	-1.53061224489796	3	-1-003
#1D3F5E	6	6	-1.16326530612245	-1.52402210884354	3	-1-003
#1D3F5E	6	6	-1.28571428571429	-1.47300170068027	3	-1-003
#1D3F5E	6	6	-1.40816326530612	-1.41687925170068	3	-1-003
#1D3F5E	6	6	-1.42559523809524	-1.40816326530612	3	-1-003
#1D3F5E	6	6	-1.53061224489796	-1.35088126159555	3	-1-003
#1D3F5E	6	6	-1.64089481946625	-1.28571428571429	3	-1-003
#1D3F5E	6	6	-1.6530612244898	-1.27780612244898	3	-1-003
#1D3F5E	6	6	-1.77551020408163	-1.19209183673469	3	-1-003
#1D3F5E	6	6	-1.81394557823129	-1.16326530612245	3	-1-003
#1D3F5E	6	6	-1.89795918367347	-1.09325396825397	3	-1-003
#1D3F5E	6	6	-1.95695153061224	-1.04081632653061	3	-1-003
#1D3F5E	6	6	-2.02040816326531	-0.977359693877551	3	-1-003
#1D3F5E	6	6	-2.07593037214886	-0.918367346938775	3	-1-003
#1D3F5E	6	6	-2.14285714285714	-0.837099125364432	3	-1-003
#1D3F5E	6	6	-2.17488662131519	-0.795918367346939	3	-1-003
#1D3F5E	6	6	-2.25651927437642	-0.673469387755102	3	-1-003
#1D3F5E	6	6	-2.26530612244898	-0.65765306122449	3	-1-003
#1D3F5E	6	6	-2.32142857142857	-0.551020408163265	3	-1-003
#1D3F5E	6	6	-2.37298603651987	-0.428571428571429	3	-1-003
#1D3F5E	6	6	-2.38775510204082	-0.381802721088436	3	-1-003
#22496C	8	8	-2.75510204081633	-0.450042517006802	4	-1-004
#22496C	8	8	-2.7625702454895	-0.428571428571429	4	-1-004
#22496C	8	8	-2.79451345755694	-0.306122448979592	4	-1-004
#22496C	8	8	-2.81580893226856	-0.183673469387755	4	-1-004
#22496C	8	8	-2.82645666962437	-0.0612244897959187	4	-1-004
#22496C	8	8	-2.82645666962437	0.0612244897959182	4	-1-004
#22496C	8	8	-2.81580893226856	0.183673469387755	4	-1-004
#22496C	8	8	-2.79451345755694	0.306122448979592	4	-1-004
#22496C	8	8	-2.7625702454895	0.428571428571428	4	-1-004
#22496C	8	8	-2.75510204081633	0.450042517006802	4	-1-004
#22496C	8	8	-2.71838280766852	0.551020408163265	4	-1-004
#22496C	8	8	-2.66272418058132	0.673469387755102	4	-1-004
#22496C	8	8	-2.63265306122449	0.72859977324263	4	-1-004
#22496C	8	8	-2.59418529316489	0.795918367346939	4	-1-004
